,checkpointsAcc,OODalg,AUROC,AUPR,FPR95
0,88.27,MSP,6.36,31.51,0.9829695328128596
1,92.02,MSP,4.79,31.25,0.9136615504452352
2,93.45,MSP,3.3,31.06,0.929682935896755
3,93.83,MSP,3.3,31.08,0.9776939826862818
4,94.64,MSP,3.4,31.08,0.9849522899074123
5,94.93,MSP,3.15,31.04,0.9837307699116611
6,95.4,MSP,3.18,31.04,0.9936622585727689
7,93.79,MSP,2.95,31.01,0.9966009878379096
8,95.57,MSP,3.16,31.04,0.9628056012887921
9,95.82,MSP,2.45,30.95,0.9981057588471683
10,95.59,MSP,8.17,31.68,0.8968789278949139
11,96.79,MSP,2.46,30.95,0.9939809159629649
12,97.51,MSP,1.99,30.9,0.9353302529785614
13,97.82,MSP,1.9,30.88,0.9883513020695027
14,97.89,MSP,5.1,31.19,0.9687361693841061
15,88.27,EBM,90.49,84.19,0.01357834546001735
16,92.02,EBM,93.06,88.71,0.004620532157841627
17,93.45,EBM,92.9,88.74,0.009311877069060137
18,93.83,EBM,89.93,81.31,0.12355055145431693
19,94.64,EBM,87.08,75.99,0.15568183829907767
20,94.93,EBM,86.58,74.69,0.07162710004071733
21,95.4,EBM,80.94,68.6,0.2904562111636306
22,93.79,EBM,80.32,67.36,0.07145006815727513
23,95.57,EBM,80.42,68.51,0.24497672030732734
24,95.82,EBM,75.39,62.27,0.2158195691043957
25,95.59,EBM,84.76,73.29,0.11673482394179191
26,96.79,EBM,60.38,52.37,0.22984049427301856
27,97.51,EBM,55.72,49.77,0.3233133287305044
28,97.82,EBM,55.66,50.67,0.8831412537397986
29,97.89,EBM,71.87,61.35,0.14741444934232656
30,88.27,MAH,53.26,46.93,0.5101527785154106
31,92.02,MAH,53.69,48.5,0.8478233929930781
32,93.45,MAH,41.73,41.34,0.8602156248340326
33,93.83,MAH,53.15,46.63,0.44027829412077113
34,94.64,MAH,54.05,48.29,0.18990210136845645
35,94.93,MAH,53.67,47.19,0.18630835413457963
36,95.4,MAH,49.44,45.05,0.5766282507479598
37,93.79,MAH,72.71,61.59,0.09626993821587268
38,95.57,MAH,53.52,47.78,0.48136739426770764
39,95.82,MAH,55.3,48.16,0.3439375431515216
40,95.59,MAH,58.43,49.82,0.19645228105581816
41,96.79,MAH,67.72,57.56,0.3488944358879034
42,97.51,MAH,53.78,48.68,0.3688459291518402
43,97.82,MAH,63.84,55.92,0.2790730610582966
44,97.89,MAH,41.04,41.43,0.3252606794483687
