,checkpoints,OODalg,AUROC,AUPR,FPR95,checkpointsAcc
0,,MSP,7.95,31.81,0.976507869067219,88.87
1,,MSP,4.85,31.27,0.9571405810186414,91.45
2,,MSP,4.53,31.23,0.9022961035282454,92.17
3,,MSP,4.68,31.26,0.9817657160054526,93.05
4,,MSP,3.74,31.13,0.9679395259086161,93.51
5,,MSP,4.08,31.18,0.9931134597340981,94.18
6,,MSP,3.57,31.12,0.9940340255279976,94.46
7,,MSP,3.55,31.09,0.9904756846708093,94.58
8,,MSP,3.84,31.15,0.9403225520916317,94.47
9,,MSP,3.5,31.1,0.9935383362543594,94.64
10,,MSP,3.24,31.03,0.9811992139784376,95.12
11,,MSP,2.44,30.94,0.9827747977410731,96.09
12,,MSP,2.26,30.9,0.9737284684971763,97.15
13,,MSP,1.88,30.86,0.9927593959672137,97.48
14,,MSP,5.95,31.3,0.9959813762458619,97.54
15,,EBM,88.61,84.52,0.08081505479136793,88.87
16,,EBM,92.48,88.75,0.04362065608016004,91.45
17,,EBM,93.05,89.61,0.08779011099899092,92.17
18,,EBM,92.31,88.74,0.032184396409793405,93.05
19,,EBM,93.2,89.29,0.07681413422557402,93.51
20,,EBM,93.46,90.16,0.06056260732557934,94.18
21,,EBM,93.43,89.98,0.009949191849452086,94.46
22,,EBM,94.3,91.33,0.07330890293341831,94.58
23,,EBM,92.75,88.87,0.03662789668419282,94.47
24,,EBM,92.65,88.94,0.016393152406748455,94.64
25,,EBM,94.14,91.53,0.14886611078655265,95.12
26,,EBM,91.79,88.12,0.14261688530104272,96.09
27,,EBM,95.76,93.45,0.006815727512525006,97.15
28,,EBM,95.85,93.32,0.012073574450758582,97.48
29,,EBM,95.37,94.27,0.023899304264698072,97.54
30,,MAH,48.65,47.29,0.38143289606458125,88.87
31,,MAH,53.04,49.11,0.6237895444969639,91.45
32,,MAH,49.78,47.96,0.3051321543009896,92.17
33,,MAH,48.17,47.02,0.1752792677961301,93.05
34,,MAH,54.43,53.13,0.009630534459256112,93.51
35,,MAH,48.62,46.71,0.7420822490130472,94.18
36,,MAH,50.89,48.29,0.5418237824632216,94.46
37,,MAH,57.52,54.44,0.885743622426399,94.58
38,,MAH,54.52,50.56,0.5259263193301114,94.47
39,,MAH,41.78,44.5,0.8004496609839432,94.64
40,,MAH,51.36,51.52,0.4418184715067184,95.12
41,,MAH,59.67,57.21,0.2261228247207322,96.09
42,,MAH,48.87,50.84,0.06472285658647123,97.15
43,,MAH,47.51,54.03,0.37401526014835274,97.48
44,,MAH,49.73,52.98,0.3588613309256997,97.54
